id,review_body,stars,language,lenght_review_body,review_body_clean,sentiment
3004,Bastante preciso venía con la pila muy gastada me duro una semana pero una vez resuelto muy bien,4,es,96,bastante preciso venía con la pila muy gastada me duro una semana pero una vez resuelto muy bien,positivo
3368,"No sirven, son defectuosos, apenas se marca la línea de control. Un desastre",1,es,76,no sirven son defectuosos apenas se marca la línea de control un desastre,negativo
3424,Adecuado para el precio; un pelin inestable pero bien!,3,es,54,adecuado para el precio un pelin inestable pero bien,neutro
3739,"Lo estuve probando y al menos a mí no me ha servido en absoluto, a lo mucho ha conseguido hacer descender la temperatura en dos grados más o menos, por otra parte creo que le hace falta más fuerza en los muelles.",1,es,212,lo estuve probando y al menos a mí no me ha servido en absoluto a lo mucho ha conseguido hacer descender la temperatura en dos grados más o menos por otra parte creo que le hace falta más fuerza en los muelles,negativo
4294,"Se adaptan muy bien a la pantalla, pero hacen mucho reflejo y si hay mucha claridad no se ve nada",4,es,97,se adaptan muy bien a la pantalla pero hacen mucho reflejo y si hay mucha claridad no se ve nada,positivo
4388,"Si lo que buscas es portabilidad y facilidad de uso este es tu candado. De seguridad diria que es nivel medio, para dejar tu bici aparcada toda la noche o mas de 2 horas no lo recomendaria, supongo que para un profesional no supondria un reto. Yo lo uso en un parking de la empresa vigilado, es principalmente para que no se la lleve el vecino de al lado. lo que me gusta es que es muy facil de transportar con el dock que trae incluido. lo uso con una Brompton y no afecta el plegado y no aumenta el peso de manera importante. lo recomiendo para una seguridad media como he descrito.",5,es,584,si lo que buscas es portabilidad y facilidad de uso este es tu candado de seguridad diria que es nivel medio para dejar tu bici aparcada toda la noche o mas de horas no lo recomendaria supongo que para un profesional no supondria un reto yo lo uso en un parking de la empresa vigilado es principalmente para que no se la lleve el vecino de al lado lo que me gusta es que es muy facil de transportar con el dock que trae incluido lo uso con una brompton y no afecta el plegado y no aumenta el peso de manera importante lo recomiendo para una seguridad media como he descrito,positivo
4663,"Dos veces que la he pedido dos veces que ha llegado así, los agujeros huecos",1,es,76,dos veces que la he pedido dos veces que ha llegado así los agujeros huecos,negativo
4926,"Producto muy corriente, cada vez que utilizamos los dardos rompemos tres o cuatro puntas.., y los dardos rebotan muchas veces sin clavarse. La zona de mejor rendimiento (clavado) es el círculo exterior de la Diana",1,es,213,producto muy corriente cada vez que utilizamos los dardos rompemos tres o cuatro puntas y los dardos rebotan muchas veces sin clavarse la zona de mejor rendimiento clavado es el círculo exterior de la diana,negativo
5038,Esperemos que funcione cuando haga falta,4,es,40,esperemos que funcione cuando haga falta,positivo
5204,"En general estamos contentos con el producto. Con el paso del tiempo cada vez cuesta más quitar la cuchilla para limpiarla. La cuchilla está empezando a sobrecalentarse mucho. Realmente el nivel de molienda para cafetera espresso manual ha de ser en niveles superiores de lo que te dice el molinillo, al estar muy fino el café no sale como toca (aunque supongo que también dependerá del modelo y marca de la cafetera). Referente al ruido, es un poco ruidoso, pero supongo que es algo normal. Además, para 5 minutos que se va a usar tampoco pasa nada.",3,es,550,en general estamos contentos con el producto con el paso del tiempo cada vez cuesta más quitar la cuchilla para limpiarla la cuchilla está empezando a sobrecalentarse mucho realmente el nivel de molienda para cafetera espresso manual ha de ser en niveles superiores de lo que te dice el molinillo al estar muy fino el café no sale como toca aunque supongo que también dependerá del modelo y marca de la cafetera referente al ruido es un poco ruidoso pero supongo que es algo normal además para minutos que se va a usar tampoco pasa nada,neutro
5553,"Tira humo por donde no debe, y se para solo a los 30 segundos de funcionamiento,al menos el que yo he recibido. Muy poco humo, no Le veo utilidad para lo que está previsto. Lo voy a devolver",1,es,190,tira humo por donde no debe y se para solo a los segundos de funcionamientoal menos el que yo he recibido muy poco humo no le veo utilidad para lo que está previsto lo voy a devolver,negativo
5606,"Calidad y precio correcto, buena compra.",5,es,40,calidad y precio correcto buena compra,positivo
5700,Está muy bien pero el enganche al teléfono es algo débil,3,es,56,está muy bien pero el enganche al teléfono es algo débil,neutro
5830,Cable bien pero ha llegado demasiado tarde,4,es,42,cable bien pero ha llegado demasiado tarde,positivo
5867,No son tan buenas como me pensava en un principio cumplen justo lo necesario tres estrellas y por ser generoso,3,es,110,no son tan buenas como me pensava en un principio cumplen justo lo necesario tres estrellas y por ser generoso,neutro
6183,"Funciona perfectamente. Por 2,99 e no se puede pedir más.",4,es,57,funciona perfectamente por e no se puede pedir más,positivo
6347,Es normal que haya llegado con estos desconchados en el cristal? No me da mucha fiabilidad,2,es,90,es normal que haya llegado con estos desconchados en el cristal no me da mucha fiabilidad,negativo
6490,Buen artículo vienen muy biem,4,es,29,buen artículo vienen muy biem,positivo
6742,"estupendo escritorio.perfecto material,perfecta entrega.queda estupendo.facil montaje.entrega a su tiempo.medidas exactas a las indicadas.ideal para un hueco pequeño.volvere a comprar seguro",5,es,190,estupendo escritorioperfecto materialperfecta entregaqueda estupendofacil montajeentrega a su tiempomedidas exactas a las indicadasideal para un hueco pequeñovolvere a comprar seguro,positivo
6977,"Es cómodo porque está todo recogido y el diseño es funcional y discreto. Pero el reloj no carga con el cable que trae, lo tuve que sustituir por el original, con lo cual sigo teniendo un poco de lío con los cables.",2,es,214,es cómodo porque está todo recogido y el diseño es funcional y discreto pero el reloj no carga con el cable que trae lo tuve que sustituir por el original con lo cual sigo teniendo un poco de lío con los cables,negativo
7007,Las cremalleras van muy rígidas y ya se me rompió la cremallera principal,2,es,73,las cremalleras van muy rígidas y ya se me rompió la cremallera principal,negativo
7094,"Cumple perfectamente con lo que promete, y el precio y la entrega perfectos como siempre.",5,es,89,cumple perfectamente con lo que promete y el precio y la entrega perfectos como siempre,positivo
7221,La encuentro muy útil y el precio acceptable.,5,es,45,la encuentro muy útil y el precio acceptable,positivo
7426,"El producto llego bien embalado, pero a la hora de funcionar, no iba, y pedi la devolucion. Asi que decidi cambiar por otro modelo",1,es,130,el producto llego bien embalado pero a la hora de funcionar no iba y pedi la devolucion asi que decidi cambiar por otro modelo,negativo
7498,"El chocolate kinder buenisimo, pero el calendario en sí es muy pequeño. Los niños esperaban figuritas de navidad de chocolate y hay bombones redondos.",3,es,150,el chocolate kinder buenisimo pero el calendario en sí es muy pequeño los niños esperaban figuritas de navidad de chocolate y hay bombones redondos,neutro
7882,Protege todo el colchón,4,es,23,protege todo el colchón,positivo
8232,El pedido se entregó al conserje estando yo en casa y siendo claras las instrucciones de entregar preferentemente en mano. No me llamaron en ningún momento. Esto genera confusión y retraso en la recepción del paquete.,2,es,217,el pedido se entregó al conserje estando yo en casa y siendo claras las instrucciones de entregar preferentemente en mano no me llamaron en ningún momento esto genera confusión y retraso en la recepción del paquete,negativo
8375,"Han venido unas pocas rotas, como son tantas no importa mucho pero no hay trozos en la caja así que será de fábrica",3,es,115,han venido unas pocas rotas como son tantas no importa mucho pero no hay trozos en la caja así que será de fábrica,neutro
8407,"Esta muy guay y queda genial , hasta que se cae el segundo dia",1,es,62,esta muy guay y queda genial hasta que se cae el segundo dia,negativo
9282,"Muy buena guia, es pequeña y practica, y ademas tiene un mapa de la ciudad incorporado!! Muy buena compra",5,es,105,muy buena guia es pequeña y practica y ademas tiene un mapa de la ciudad incorporado muy buena compra,positivo
9354,El maletín es de muy buena calidad. Lo utilizo para moverme con mi ordenador y un montón de libros. Las ruedas aguantan muy bien por cualquier camino. Se lo recomiendo a todo el que necesite transportar peso por trabajo cada día.,5,es,229,el maletín es de muy buena calidad lo utilizo para moverme con mi ordenador y un montón de libros las ruedas aguantan muy bien por cualquier camino se lo recomiendo a todo el que necesite transportar peso por trabajo cada día,positivo
9865,"Imanes de buena calidad a un buen precio, bastabte potentes para su tamaño.",4,es,75,imanes de buena calidad a un buen precio bastabte potentes para su tamaño,positivo
10020,El pedido nunca ha llegado. Espero que muy pronto se me devuelva el importe que he pagado por este pedido,1,es,105,el pedido nunca ha llegado espero que muy pronto se me devuelva el importe que he pagado por este pedido,negativo
10503,Son lo que ofrecen. Muy buena relación calidad-precio. Recomiendo.,5,es,66,son lo que ofrecen muy buena relación calidadprecio recomiendo,positivo
10523,"Producto igual al de la imagen, calidad perfecta, manejo (dureza) regulable x tornillo, aún k no he tocado nada ya que va perfecto y super fluido al moverlo, a mi hijo le ha encantado está entretenido con ello. Y por el precio que tiene, te llevas dos, de dos dificultades diferentes. Lo recomiendo.",5,es,299,producto igual al de la imagen calidad perfecta manejo dureza regulable x tornillo aún k no he tocado nada ya que va perfecto y super fluido al moverlo a mi hijo le ha encantado está entretenido con ello y por el precio que tiene te llevas dos de dos dificultades diferentes lo recomiendo,positivo
10676,2 en 1 Limpia Ventanas Todo Ok. Lo he recibido y estoy contenta. Puede que haga otro pedido mas tarde,4,es,101,en limpia ventanas todo ok lo he recibido y estoy contenta puede que haga otro pedido mas tarde,positivo
10823,Es algo necesario par proteger el GPS y mas cuando este es portado en cinto o en alguna de las correas de la mochila. El material es bueno si bien se me figura caro para lo que es la funda.,4,es,189,es algo necesario par proteger el gps y mas cuando este es portado en cinto o en alguna de las correas de la mochila el material es bueno si bien se me figura caro para lo que es la funda,positivo
11059,No me ha gustado el que no tenga instrucciones para abrirlo y cambiar la batería que se supone que debe ser pila de botón. No fui capaz de ni siquiera ponerlo en hora. El abrirlo para ver el tipo de pila y ponerlo en hora me ha sido imposible sin correr el riesgo de dañar el metal. Ademas la posición fija del sistema de pegado hace que no se pueda ver desde el asiento del conductor en la posición donde quería colocarlo en el panel de instrumentos. Son bonitos aunque un poco pequeños. Procedo a devolverlos,2,es,510,no me ha gustado el que no tenga instrucciones para abrirlo y cambiar la batería que se supone que debe ser pila de botón no fui capaz de ni siquiera ponerlo en hora el abrirlo para ver el tipo de pila y ponerlo en hora me ha sido imposible sin correr el riesgo de dañar el metal ademas la posición fija del sistema de pegado hace que no se pueda ver desde el asiento del conductor en la posición donde quería colocarlo en el panel de instrumentos son bonitos aunque un poco pequeños procedo a devolverlos,negativo
11238,Es un producto muy bueno y el precio es excelente y nos llegó antes de lo esperado. Lo recomiendo totalmente,5,es,108,es un producto muy bueno y el precio es excelente y nos llegó antes de lo esperado lo recomiendo totalmente,positivo
11541,Es cómodo para llevar las llaves en el cinturón pero soporta poco peso. Si colocas más de 5 llaves lo soporta mal,3,es,113,es cómodo para llevar las llaves en el cinturón pero soporta poco peso si colocas más de llaves lo soporta mal,neutro
11629,"La tengo puesta en la ventana de la terraza, no se ha despegado y va estupendamente.",5,es,84,la tengo puesta en la ventana de la terraza no se ha despegado y va estupendamente,positivo
11719,No cabe una camisa :-( Su tamaño es muy pequeño.Lo utilizare para ropa interior pero no para su finalidad por su tamaño.Muy mal.,2,es,128,no cabe una camisa su tamaño es muy pequeñolo utilizare para ropa interior pero no para su finalidad por su tamañomuy mal,negativo
11765,"Lo hubiera titulado algoritmos aplicados a la inteligencia Artificial, no habla de lo que es, no hacia donde camina la IA, ni siquiera sus orígenes. El libro está bien pero no para lo que yo lo compré",1,es,200,lo hubiera titulado algoritmos aplicados a la inteligencia artificial no habla de lo que es no hacia donde camina la ia ni siquiera sus orígenes el libro está bien pero no para lo que yo lo compré,negativo
11913,El producto está bien pero las tallas son grandes,1,es,49,el producto está bien pero las tallas son grandes,negativo
11947,"cumple bien su funcion, protege, y se abre facilmente para leer, y se puede poner por detras al abrir",5,es,101,cumple bien su funcion protege y se abre facilmente para leer y se puede poner por detras al abrir,positivo
12010,La gorra viene pequeña para tamaño normal de hombre.,1,es,52,la gorra viene pequeña para tamaño normal de hombre,negativo
12264,"Articulo que se corresponde a la descripción del artículo. Se escucha muy bien, dispone de manos libres. El idioma de puede cambiar muy fácilmente al español.",5,es,158,articulo que se corresponde a la descripción del artículo se escucha muy bien dispone de manos libres el idioma de puede cambiar muy fácilmente al español,positivo
12352,"Feo a más no poder,no parece el de la foto ni por casualidad.",1,es,61,feo a más no poderno parece el de la foto ni por casualidad,negativo
12623,"Pues no me llega un mail de Amazon para que evalúe este articulo. Artículo que aún no me ha llegado?? Claro teniendo en cuenta que debería tenerlo hace mas de una semana, la evaluación me resulta compleja, pero......se puede evaluar el servicio de Amazon?? Sin más comentarios.",1,es,277,pues no me llega un mail de amazon para que evalúe este articulo artículo que aún no me ha llegado claro teniendo en cuenta que debería tenerlo hace mas de una semana la evaluación me resulta compleja perose puede evaluar el servicio de amazon sin más comentarios,negativo
12640,"Es tal y como esperaban los chicos, el precio más asequible que en tienda, lo único que han tenido que esperar aproximadamente un mes",4,es,133,es tal y como esperaban los chicos el precio más asequible que en tienda lo único que han tenido que esperar aproximadamente un mes,positivo
12825,"Ha llegado mucho antes del día previsto. Buena calidad, se ajusta perfectamente al movil. Corresponde con las imagenes. Todo perfecto!",5,es,134,ha llegado mucho antes del día previsto buena calidad se ajusta perfectamente al movil corresponde con las imagenes todo perfecto,positivo
12923,"Funciona muy bien pero el resultado final no es el que esperaba. Resolución bien pero las tonalidades, brillo etc te obligan a ajustar manualmente y no siempre obtienes los tonos que quisieras respecto de la foto original.",3,es,222,funciona muy bien pero el resultado final no es el que esperaba resolución bien pero las tonalidades brillo etc te obligan a ajustar manualmente y no siempre obtienes los tonos que quisieras respecto de la foto original,neutro
12988,"En casa ya no faltan... muy practico y fácil de usar. Llevaba tiempo buscando este artículo, vienen en paquetes de 30 unidades",5,es,126,en casa ya no faltan muy practico y fácil de usar llevaba tiempo buscando este artículo vienen en paquetes de unidades,positivo
13156,No me ha gustado que era todo plástico y se veía super débil. Esperaba otro modelo parecido que había visto pero más robusto y mejor. Decepcionado pero devuelto sin problema,3,es,173,no me ha gustado que era todo plástico y se veía super débil esperaba otro modelo parecido que había visto pero más robusto y mejor decepcionado pero devuelto sin problema,neutro
13182,"Estéticamente es muy chulo. Su montaje es muy sencillo y a gusto de cada uno. Yo lo monte como una escalera de cubos y me ha quedado muy bien en el salón. lo que más me ha gustado es que si no me gusta la forma o el estilo. Lo desmonto y vuelo a montar. El material es de plástico translúcidos, a simple vista es flojete. Una vez montada aguanta bien.",5,es,351,estéticamente es muy chulo su montaje es muy sencillo y a gusto de cada uno yo lo monte como una escalera de cubos y me ha quedado muy bien en el salón lo que más me ha gustado es que si no me gusta la forma o el estilo lo desmonto y vuelo a montar el material es de plástico translúcidos a simple vista es flojete una vez montada aguanta bien,positivo
13223,No puedo opinar de su capacidad de carga ya que no funcionaba y lo tuve que devolver. No he comprado otro igual.,1,es,112,no puedo opinar de su capacidad de carga ya que no funcionaba y lo tuve que devolver no he comprado otro igual,negativo
13285,Interrumpe la carga a 0.5 muchas veces,2,es,38,interrumpe la carga a muchas veces,negativo
13370,Va desfasado la imagen con el sonido y cuando hace alguna actualización nueva del iOS deja de ser compatible,1,es,108,va desfasado la imagen con el sonido y cuando hace alguna actualización nueva del ios deja de ser compatible,negativo
13408,"Muy buen sonido, el control del volumen es demasiado fácil de mover por lo que se puede cambiar el volumen sin querer. El mayor problema es que en contra de lo que dice la descripción NO TIENE MICRÓFONO, por lo que no se puede usar la función de manos libres del teléfono",3,es,271,muy buen sonido el control del volumen es demasiado fácil de mover por lo que se puede cambiar el volumen sin querer el mayor problema es que en contra de lo que dice la descripción no tiene micrófono por lo que no se puede usar la función de manos libres del teléfono,neutro
13861,"Ya tenía muchísimas ganas de tenerlo, y lo disfruto un montón",5,es,61,ya tenía muchísimas ganas de tenerlo y lo disfruto un montón,positivo
14129,"1 de las brocas viene rota la punta no está en la caja,pienso que alguien a tenido que ver esto al prepararlo.Para que se envía.",1,es,128,de las brocas viene rota la punta no está en la cajapienso que alguien a tenido que ver esto al prepararlopara que se envía,negativo
14171,Las pinzas van muy bien. Desde que las he comprado no se ha vuelto a mover el mantel y no saltan nada. La única pega es que son largas y según donde las coloques pueden rozar con las sillas o las piernas. Eso hay que tener cuidado,4,es,230,las pinzas van muy bien desde que las he comprado no se ha vuelto a mover el mantel y no saltan nada la única pega es que son largas y según donde las coloques pueden rozar con las sillas o las piernas eso hay que tener cuidado,positivo
14182,El pijama de la talla 10-12 es más bien talla 10. Mi hijo encantado o más. Todo lo demás bien,4,es,93,el pijama de la talla es más bien talla mi hijo encantado o más todo lo demás bien,positivo
14283,"Pues es bueno, pero los tonos que tiene o son muy claros o ya se pasan a muy rosas o muy morenos.",3,es,97,pues es bueno pero los tonos que tiene o son muy claros o ya se pasan a muy rosas o muy morenos,neutro
14370,"El proyector es de buena calidad, cumple con las expectativas.....relación calidad/precio aceptable. Recomendado para aquellos que quieran su primer proyector.",4,es,159,el proyector es de buena calidad cumple con las expectativasrelación calidadprecio aceptable recomendado para aquellos que quieran su primer proyector,positivo
14410,"Super cómoda, fácil de instalar y de usar, te evita tener q estar bajando la basura a diario, ya q impide la salida de malos olores",5,es,131,super cómoda fácil de instalar y de usar te evita tener q estar bajando la basura a diario ya q impide la salida de malos olores,positivo
14433,"El acondicionador de Cantu es mucho mejor de lo que imaginé. Deja el pelo hidratado, suave, y con los rizos bien definidos. Cero encrespamiento. Su textura es muy cremosa y envuelve por completo el cabello. Además tiene un precio estupendo.",5,es,240,el acondicionador de cantu es mucho mejor de lo que imaginé deja el pelo hidratado suave y con los rizos bien definidos cero encrespamiento su textura es muy cremosa y envuelve por completo el cabello además tiene un precio estupendo,positivo
15095,"Decidí darle confianza a la marca con un Vasco después de encontrar unas zapatillas muy buenas. Lo mejor del producto es que para este precio la calidad es muy alta. Cómodo y ligero quizás le falta sujeción en el lateral y un mejor ajuste en la rueda de fijación pero para este precio, es una buena compra sin duda",4,es,314,decidí darle confianza a la marca con un vasco después de encontrar unas zapatillas muy buenas lo mejor del producto es que para este precio la calidad es muy alta cómodo y ligero quizás le falta sujeción en el lateral y un mejor ajuste en la rueda de fijación pero para este precio es una buena compra sin duda,positivo
15549,"Después de comprar y probar la carcasa durante unos meses el táctil es malo ya que cuesta llegar a todas las partes de la pantalla y no queda lo suficientemente ajustado el plastico protector de la pantalla ya que se tiene que apretar mas de lo que sería necesario para poder llegar a la pantalla, la parte de durabilidad es la esperada duro como una roca y resistente a todo y para terminar decir que el peso que tiene es su punto más débil ya que es lo que me está haciendo plantear cambiar de carcasa ya que es insostenible llevar esta carcasa en el bolsillo o incluso en el bolso pesa mucho, lo bueno es que notas si no lo llevas",3,es,633,después de comprar y probar la carcasa durante unos meses el táctil es malo ya que cuesta llegar a todas las partes de la pantalla y no queda lo suficientemente ajustado el plastico protector de la pantalla ya que se tiene que apretar mas de lo que sería necesario para poder llegar a la pantalla la parte de durabilidad es la esperada duro como una roca y resistente a todo y para terminar decir que el peso que tiene es su punto más débil ya que es lo que me está haciendo plantear cambiar de carcasa ya que es insostenible llevar esta carcasa en el bolsillo o incluso en el bolso pesa mucho lo bueno es que notas si no lo llevas,neutro
15623,Muy mala ya que a los 3 meses se apagó de repente y no volvió a funcionar sin motivo alguno.,1,es,92,muy mala ya que a los meses se apagó de repente y no volvió a funcionar sin motivo alguno,negativo
16192,Bonito diseño. Útil y práctico. Me hubiera gustado que tuviera un recoveco para recojer el cable.,4,es,97,bonito diseño útil y práctico me hubiera gustado que tuviera un recoveco para recojer el cable,positivo
16365,"El diseño,el tamaño un poco grsnde",4,es,34,el diseñoel tamaño un poco grsnde,positivo
16392,"material de fabricación frágil, hace un poco de ruido pero realiza su función, pero su precio es económico, envió rápido",3,es,120,material de fabricación frágil hace un poco de ruido pero realiza su función pero su precio es económico envió rápido,neutro
16441,"No puedo dar una opinión sobre la calidad, sonido y funcionalidad, dado que no es compatible con mi móvil. Una lástima la verdad.",1,es,129,no puedo dar una opinión sobre la calidad sonido y funcionalidad dado que no es compatible con mi móvil una lástima la verdad,negativo
16577,Muy fácil de montar y se le ve buen acabado,4,es,43,muy fácil de montar y se le ve buen acabado,positivo
16587,"Lo compré para mis padres, para que pudieran recuperar las diapositivas de cuando eran jóvenes y están encantados. Lo hemos usado para diapositivas y negativos de fotos (las que son en blanco y negro quedan genial). Sencillo pero muy fácil de usar, la imagen se ve bien y se pueden retocar los colores. El único fallo es que recorta un poco por los lados y queda la imagen más cuadrada, así que para fotos profesionales se queda corto, pero por el precio que tiene es una maravilla.",5,es,482,lo compré para mis padres para que pudieran recuperar las diapositivas de cuando eran jóvenes y están encantados lo hemos usado para diapositivas y negativos de fotos las que son en blanco y negro quedan genial sencillo pero muy fácil de usar la imagen se ve bien y se pueden retocar los colores el único fallo es que recorta un poco por los lados y queda la imagen más cuadrada así que para fotos profesionales se queda corto pero por el precio que tiene es una maravilla,positivo
16642,"Me parece una gran idea la de acercar el formato y contenido del Código a los opositores. Todos los que había encontrado hasta la fecha eran más de consulta que de estudio. A partir de ahí, las anotaciones y añadidos que contiene mí me ayudan y mucho para memorizar y prepararme los temas. Lo he llevado a una copistería para ponerle una espiral para que pueda abrirse totalmente sin sujetarlo, y girarlo sobre sí mismo (quizá lo mejorable). Después de revisarlo un par de días no detecto erratas. Le doy 5 estrellas, y ya he pedido los otros dos libros de la serie.",5,es,566,me parece una gran idea la de acercar el formato y contenido del código a los opositores todos los que había encontrado hasta la fecha eran más de consulta que de estudio a partir de ahí las anotaciones y añadidos que contiene mí me ayudan y mucho para memorizar y prepararme los temas lo he llevado a una copistería para ponerle una espiral para que pueda abrirse totalmente sin sujetarlo y girarlo sobre sí mismo quizá lo mejorable después de revisarlo un par de días no detecto erratas le doy estrellas y ya he pedido los otros dos libros de la serie,positivo
17305,Es algo tan basico como cambiar una bombilla de freno en la que da igual la postura pongas la que pongas esta siempre funcionara en el coche. Calidad excelente y recibido en un tiempo record.,5,es,191,es algo tan basico como cambiar una bombilla de freno en la que da igual la postura pongas la que pongas esta siempre funcionara en el coche calidad excelente y recibido en un tiempo record,positivo
17626,A los pocos meses empezo a pelarse y quedarse fea.,1,es,50,a los pocos meses empezo a pelarse y quedarse fea,negativo
18639,Queda muy bonito y fino,4,es,23,queda muy bonito y fino,positivo
18680,No funciona y no me da opción de devolución,1,es,43,no funciona y no me da opción de devolución,negativo
19154,"Estupenda oferta, mucho mas económica en Sony. Mi hijo está encantado,juegos gratis y muchas posibilidades, el codigo no dio ningun erros.Lo recomiendo 100%.",5,es,157,estupenda oferta mucho mas económica en sony mi hijo está encantadojuegos gratis y muchas posibilidades el codigo no dio ningun erroslo recomiendo,positivo
19220,"Hace su función perfectamente, pero da bastante calor y el bebé suda debido al tejido y que queda ceñido a la cabeza.",4,es,117,hace su función perfectamente pero da bastante calor y el bebé suda debido al tejido y que queda ceñido a la cabeza,positivo
19304,"Estupendo para evitar golpes en esquinas para los niños. El agarre deja mucho que desear, cada dos por tres estaban en el suelo.",3,es,128,estupendo para evitar golpes en esquinas para los niños el agarre deja mucho que desear cada dos por tres estaban en el suelo,neutro
19438,"LA verdad es que la he necesitado muchas veces para poder ver en sitios muy poco accesibles, La calidad de imagen es buena y todo el cable es recio para que pueda ir entrando por los sitios. Dispone de luz lez regulable y desconectable, tambien con varios accesorios USB para poderlo conectar al ordenador. Lo malo es que la camara no tiene una forma con la cual poder hacer bien las curvas o esquinas y que el software que incluye no es muy bueno.",5,es,448,la verdad es que la he necesitado muchas veces para poder ver en sitios muy poco accesibles la calidad de imagen es buena y todo el cable es recio para que pueda ir entrando por los sitios dispone de luz lez regulable y desconectable tambien con varios accesorios usb para poderlo conectar al ordenador lo malo es que la camara no tiene una forma con la cual poder hacer bien las curvas o esquinas y que el software que incluye no es muy bueno,positivo
19509,"El plástico que cubre la cámara cumple su función y no entra el agua. Sin embargo, no cuenta con visor para poder ver con facilidad el visor de la cámara, por lo que pasado un rato el plástico por el cual se ve el visor de la cámara se empaña y hace que apenas se pueda ver a través del plástico.",3,es,296,el plástico que cubre la cámara cumple su función y no entra el agua sin embargo no cuenta con visor para poder ver con facilidad el visor de la cámara por lo que pasado un rato el plástico por el cual se ve el visor de la cámara se empaña y hace que apenas se pueda ver a través del plástico,neutro
19625,No me ha llegado el maletín y era una de las cosas principales por lo que pedía este equipo. Me lo han enviado en una caja de cartón.,2,es,133,no me ha llegado el maletín y era una de las cosas principales por lo que pedía este equipo me lo han enviado en una caja de cartón,negativo
